"","rmse","rmse.sd","model","k","mae","mae.sd"
"29",2.21638670587749,0.480815290446279,"f1",9,1.87816559596411,0.49760533176115
"30",2.44763591193997,1.0173159203712,"f2",9,2.07915890944803,0.866653565732815
"31",1.97357314143949,0.748391251580465,"f3",9,1.67298371628601,0.657510363633753
"32",2.29908579524749,0.363077762580462,"f4",9,1.84175387453475,0.276050184324458
"33",2.01804073232496,0.68085518908974,"f1",10,1.73244176366479,0.717593038658687
"34",2.45301902125418,0.746702168794503,"f2",10,2.15155772493955,0.688166420140132
"35",1.96260673273631,0.765031861134917,"f3",10,1.67353930132421,0.755276945355631
"36",2.51170764954562,1.20785036073033,"f4",10,1.99223906077336,0.803583535275652
"37",2.03795489198309,0.364784593905973,"f1",2,1.63926161688951,0.358683159449304
"38",2.34885162750327,0.0954628524243209,"f2",2,1.94968122124341,0.0168286969403078
"39",2.36706952013753,0.0854830665921797,"f3",2,1.94355863862758,0.036895892799319
"40",12.8339175516934,14.6944241459193,"f4",2,5.07190272039751,4.32188320848712
"41",2.1633528730509,0.320917177010874,"f1",3,1.79596554107446,0.325789395656235
"42",2.43616945392429,0.29794620293658,"f2",3,2.03383140362375,0.298905579370403
"43",2.13210199113791,0.196181641823872,"f3",3,1.76595251900089,0.209813246383522
"44",3.23145501981695,1.22434745260758,"f4",3,2.28223642330912,0.664269681682805
"45",1.97087020280913,0.291703329678903,"f1",4,1.60848850405418,0.227739799025971
"46",2.60227076962827,0.772969931327076,"f2",4,2.24345230800548,0.733196922524247
"47",2.21751829186141,0.175906666542665,"f3",4,1.82732083597057,0.11751411680766
"48",2.25569753592006,0.299087305157065,"f4",4,1.80698694233154,0.393956815188352
"49",2.48258935962002,0.751370641313354,"f1",5,1.99112243584969,0.41952527035344
"50",2.47206142756091,0.692037623094352,"f2",5,2.07665067953254,0.746706175987867
"51",2.05776010300899,0.384057157819038,"f3",5,1.68989975638073,0.371304941462731
"52",2.72549306142859,1.75248360753614,"f4",5,2.0687606922088,1.13290814501892
"53",1.9332643397642,0.563309692807321,"f1",6,1.6546095715169,0.509516318830138
"54",2.52433587369768,0.580942063489554,"f2",6,2.13558616279472,0.71602156770215
"55",2.1172537693654,0.422427712352078,"f3",6,1.74235685110189,0.343960883510477
"56",3.02232433820683,1.75815274781096,"f4",6,2.32580888240375,1.23934604551167
"57",2.04841930662497,0.434560793543472,"f1",7,1.73745766244282,0.40868734643479
"58",2.47235185694067,0.543026337317331,"f2",7,2.14557593598049,0.559536810408922
"59",1.93889628559532,0.505237482695756,"f3",7,1.63730315186142,0.526776211819803
"60",2.22002097938157,0.498586262550605,"f4",7,1.85312390837407,0.448638516116507
"61",2.12728532566853,0.392942938415749,"f1",8,1.79147420884077,0.400360239304187
"62",2.51973538773221,0.558407421798653,"f2",8,2.13864014840114,0.496629457606613
"63",2.11813672183496,0.346878829082562,"f3",8,1.76369184621325,0.324402257868985
"64",3.385436066679,3.18359933856108,"f4",8,2.44414489220954,1.78765195735851
"65",2.07922985669907,0.88690527955638,"f1",9,1.77920261624962,0.892882860344877
"66",2.39332370485145,0.497313348074661,"f2",9,2.05446905390598,0.527476560250964
"67",2.12969019963168,0.548349513153935,"f3",9,1.8048266597483,0.493718967614169
"68",2.09825512115515,0.951042237321131,"f4",9,1.83801278760018,0.948746781582022
"69",2.02964886372484,0.414789461141486,"f1",10,1.71095157311319,0.398929150386916
"70",2.48569036207544,0.537477495460674,"f2",10,2.1250963090877,0.492327860779496
"71",2.02944169141987,0.734403130652333,"f3",10,1.77480989181028,0.676818371605275
"72",2.26863840192216,0.738240457132687,"f4",10,1.86899231485546,0.661416225838216
"73",2.64883408044634,0.386967407906982,"f1",2,2.16331301560231,0.184408775675324
"74",2.4323561986614,0.0874271110693578,"f2",2,2.0628305792944,0.0760583639497844
"75",2.10660027485879,0.396865093289944,"f3",2,1.76541296886362,0.461960996931859
"76",2.99598525291955,1.64773428922389,"f4",2,2.26127330645599,1.20369735744181
"77",2.24492040343798,0.393643989332518,"f1",3,1.86845015399458,0.340623296750977
