"","x","y","rhos_443","rhos_492","rhos_560","rhos_665","rhos_704","rhos_740","rhos_783","rhos_833","rhos_865","rhos_1614","rhos_2202","date","satellite","pond","class"
"252",5.33079235107875,50.9854799954599,0.0148030705749989,0.0179310515522957,0.0309229511767626,0.0165090765804052,0.0451360978186131,0.171322822570801,0.212455898523331,0.22787056863308,0.226469293236732,0.0709320306777954,0.0302371717989445,"2015_07_06","S2A","1J1","vegetation"
"253",5.33093435107875,50.9854799954599,0.0142396297305822,0.0191328506916761,0.0347504802048206,0.0175528340041637,0.044731255620718,0.159543409943581,0.20136284828186,0.257355809211731,0.219195157289505,0.0717925503849983,0.032095093280077,"2015_07_06","S2A","1J1","vegetation"
"254",5.33107635107875,50.9854799954599,0.014141209423542,0.0179435573518276,0.0331537164747715,0.0175498053431511,0.0446799136698246,0.156880289316177,0.198424607515335,0.213461339473724,0.217977732419968,0.0724191591143608,0.0327538512647152,"2015_07_06","S2A","1J1","vegetation"
"255",5.33121835107875,50.9854799954599,0.0142416479066014,0.0175739731639624,0.0311369225382805,0.0175278447568417,0.044647578150034,0.14509305357933,0.202589944005013,0.178703546524048,0.204852536320686,0.0713144764304161,0.0334294475615025,"2015_07_06","S2A","1J1","vegetation"
"256",5.33136035107875,50.9854799954599,0.0143420929089189,0.017165195196867,0.0283354949206114,0.0180397219955921,0.0449109673500061,0.141705468297005,0.206177815794945,0.156249269843102,0.200836375355721,0.0711192637681961,0.0338121764361858,"2015_07_06","S2A","1J1","vegetation"
"257",5.33150235107875,50.9854799954599,0.0144425434991717,0.0177697315812111,0.031117232516408,0.018877824768424,0.0501750968396664,0.184076935052872,0.232709780335426,0.201448321342468,0.251997858285904,0.0862657725811005,0.0369345881044865,"2015_07_06","S2A","1J1","vegetation"
"258",5.33164435107875,50.9854799954599,0.0145430006086826,0.0207143612205982,0.0395051576197147,0.0195308867841959,0.0517128482460976,0.197003424167633,0.237798079848289,0.273291260004044,0.267164140939713,0.0908863842487335,0.0376905351877213,"2015_07_06","S2A","1J1","vegetation"
"259",5.33178635107875,50.9854799954599,0.0159935113042593,0.0207688938826323,0.0409664586186409,0.020292840898037,0.0572391450405121,0.212911412119865,0.259790182113647,0.281882911920547,0.284479200839996,0.103403307497501,0.0440260134637356,"2015_07_06","S2A","1J1","vegetation"
"260",5.33192835107875,50.9854799954599,0.0165122598409653,0.0203544665127993,0.0356385186314583,0.0188096426427364,0.0594160854816437,0.218087360262871,0.267362505197525,0.228651270270348,0.289028644561768,0.108223147690296,0.0464600995182991,"2015_07_06","S2A","1J1","vegetation"
"261",5.33207035107875,50.9854799954599,0.0165164452046156,0.0217711664736271,0.0411143451929092,0.0236589759588242,0.0642011240124702,0.219690054655075,0.285410672426224,0.256466239690781,0.292363256216049,0.114267908036709,0.0512828342616558,"2015_07_06","S2A","1J1","vegetation"
"272",5.33022435107875,50.9853901954599,0.0147365322336555,0.0182458814233541,0.0341243259608746,0.0205561295151711,0.0499089062213898,0.171181902289391,0.220175385475159,0.257897347211838,0.229135483503342,0.0767276659607887,0.0339705124497414,"2015_07_06","S2A","1J1","vegetation"
"273",5.33036635107875,50.9853901954599,0.0147365322336555,0.0175389237701893,0.0297497287392616,0.0168378464877605,0.0398880504071712,0.116752222180367,0.167999535799026,0.177936241030693,0.172015383839607,0.0605081021785736,0.0262544956058264,"2015_07_06","S2A","1J1","vegetation"
"274",5.33050835107875,50.9853901954599,0.0147365322336555,0.0174541734158993,0.0300342980772257,0.0152158131822944,0.0372261926531792,0.102293975651264,0.15413998067379,0.197021752595901,0.156842470169067,0.056199673563242,0.0242048762738705,"2015_07_06","S2A","1J1","vegetation"
"275",5.33065035107875,50.9853901954599,0.0147365322336555,0.0181704871356487,0.0326860807836056,0.0170592255890369,0.0447665825486183,0.167116582393646,0.211946099996567,0.27122774720192,0.22664637863636,0.0707511827349663,0.0301541313529015,"2015_07_06","S2A","1J1","vegetation"
